,Model,Extra,Mode,Extra ratio
475,GPR,0.02327234878592986,exp,0.7
476,DNN,0.0798653488398499,exp,0.7
477,QCL,0.026597426012124427,exp,0.9
478,GPR,0.06254057729526277,exp,0.9
479,DNN,0.07052157301698359,exp,0.9
480,QCL,0.0008130759467513722,sin1/2,0.1
481,GPR,5.0142102779028705e-05,sin1/2,0.1
482,DNN,0.0012257469340795865,sin1/2,0.1
483,QCL,0.002758539779944992,sin1/2,0.3
484,GPR,0.0002610621538895721,sin1/2,0.3
485,DNN,0.0013743914939279493,sin1/2,0.3
486,QCL,0.0023750919347128707,sin1/2,0.5
487,GPR,0.0006797372069518171,sin1/2,0.5
488,DNN,0.015123782307777452,sin1/2,0.5
489,QCL,0.0020277428787156943,sin1/2,0.7
490,GPR,0.031397441153085445,sin1/2,0.7
491,DNN,0.08544755212920783,sin1/2,0.7
492,QCL,0.001285094113177718,sin1/2,0.9
493,GPR,1.1336660246827255,sin1/2,0.9
494,DNN,1.3713255970216447,sin1/2,0.9
495,QCL,0.10387125242584345,sin,0.1
496,GPR,1.1391546377817048e-06,sin,0.1
497,DNN,0.011432997462627797,sin,0.1
498,QCL,0.3746613247036133,sin,0.3
499,GPR,0.0024157906038996747,sin,0.3
500,DNN,0.2053397025466315,sin,0.3
501,QCL,1.1308978364176936,sin,0.5
502,GPR,0.1365435745738309,sin,0.5
503,DNN,0.5809843742318807,sin,0.5
504,QCL,0.5171243275296727,sin,0.7
505,GPR,0.03437788320868573,sin,0.7
506,DNN,7.651255215780848,sin,0.7
507,QCL,0.5250415821976455,sin,0.9
508,GPR,0.3558479477839638,sin,0.9
509,DNN,4.681035015593796,sin,0.9
510,QCL,0.1850953958819335,sin2,0.1
511,GPR,3.15905900921257e-05,sin2,0.1
512,DNN,0.19385499748758067,sin2,0.1
513,QCL,4.90597723011563,sin2,0.3
514,GPR,0.2275574280465836,sin2,0.3
515,DNN,0.5494417841322715,sin2,0.3
516,QCL,2.5456026672705776,sin2,0.5
517,GPR,0.5627991463292175,sin2,0.5
518,DNN,8.148137746442123,sin2,0.5
519,QCL,3.3381949649355454,sin2,0.7
520,GPR,0.5194748831960516,sin2,0.7
521,DNN,3.4814116088803413,sin2,0.7
522,QCL,1.6434165938932328,sin2,0.9
523,GPR,0.4664997419438822,sin2,0.9
524,DNN,15.411510221196533,sin2,0.9
525,QCL,5.884503711759964e-06,linear,0.1
526,GPR,2.676364428073451e-06,linear,0.1
527,DNN,0.00011346382273010784,linear,0.1
528,QCL,1.824132204662732e-06,linear,0.3
529,GPR,0.0001631646825974611,linear,0.3
530,DNN,0.011169018151815941,linear,0.3
531,QCL,6.376648931020044e-05,linear,0.5
532,GPR,0.004570923996382295,linear,0.5
533,DNN,0.0019863828383219683,linear,0.5
534,QCL,5.412830032153874e-05,linear,0.7
535,GPR,0.020572172546810527,linear,0.7
536,DNN,0.0009283651200201973,linear,0.7
537,QCL,3.523292128510977e-05,linear,0.9
538,GPR,0.07906410270379532,linear,0.9
539,DNN,0.7301375429419795,linear,0.9
540,QCL,0.0023410275674523103,exp,0.1
541,GPR,0.00010786707265793864,exp,0.1
542,DNN,0.0009135728172340695,exp,0.1
543,QCL,0.00047225296979610946,exp,0.3
544,GPR,0.0017560656087201294,exp,0.3
545,DNN,0.01843008671144037,exp,0.3
546,QCL,0.00017240460672704886,exp,0.5
547,GPR,0.0021720609187790784,exp,0.5
548,DNN,0.015838399535140837,exp,0.5
549,QCL,0.02847746846428332,exp,0.7
550,GPR,0.021997454314526006,exp,0.7
551,DNN,0.057931963666232884,exp,0.7
552,QCL,0.01978922204707801,exp,0.9
553,GPR,0.05431039235266919,exp,0.9
554,DNN,0.06118365779473991,exp,0.9
555,QCL,0.003959817065926742,sin1/2,0.1
556,GPR,0.00010616797624495018,sin1/2,0.1
557,DNN,0.0012817807585349295,sin1/2,0.1
558,QCL,0.005707986635642028,sin1/2,0.3
559,GPR,0.00048152455798074076,sin1/2,0.3
560,DNN,0.0008833297020326317,sin1/2,0.3
561,QCL,0.002468981199030474,sin1/2,0.5
562,GPR,0.0008081864774462356,sin1/2,0.5
563,DNN,0.024275149640482104,sin1/2,0.5
564,QCL,0.002083369865690198,sin1/2,0.7
565,GPR,0.05520992743341051,sin1/2,0.7
566,DNN,0.6628445838767874,sin1/2,0.7
567,QCL,0.001907346669866317,sin1/2,0.9
568,GPR,0.11627858133576156,sin1/2,0.9
569,DNN,0.2755811674257092,sin1/2,0.9
570,QCL,0.1767926346130378,sin,0.1
571,GPR,1.7762840621829116e-07,sin,0.1
572,DNN,0.014980400611705746,sin,0.1
573,QCL,0.5387318704065893,sin,0.3
574,GPR,0.010539801851579982,sin,0.3
575,DNN,0.22474533054297266,sin,0.3
576,QCL,0.9132160096616648,sin,0.5
577,GPR,0.16022853043651625,sin,0.5
578,DNN,0.7164226978165951,sin,0.5
579,QCL,0.3235765907750869,sin,0.7
580,GPR,0.14602789070816688,sin,0.7
581,DNN,7.6320379675677295,sin,0.7
582,QCL,0.5279001451548524,sin,0.9
583,GPR,0.46950808057135157,sin,0.9
584,DNN,10.293198535827923,sin,0.9
585,QCL,0.19936572223518226,sin2,0.1
586,GPR,0.0002659141051901399,sin2,0.1
587,DNN,0.646664562748585,sin2,0.1
588,QCL,4.392207546584457,sin2,0.3
589,GPR,0.2227234640207125,sin2,0.3
590,DNN,0.638079496528903,sin2,0.3
591,QCL,2.6713794781267564,sin2,0.5
592,GPR,0.2594494574613302,sin2,0.5
593,DNN,2.7776717455597257,sin2,0.5
594,QCL,2.7390989880478793,sin2,0.7
595,GPR,0.49781483233696305,sin2,0.7
596,DNN,1.6017862045758222,sin2,0.7
